138,记忆碎片 Memento,导演 : 克里斯托弗·诺兰,8.6,329494,2000-09-05, 美国, 英语,剧情 悬疑 惊悚 犯罪
139,黑天鹅 Black Swan,导演 : 达伦·阿伦诺夫斯基,8.5,486937,2010-09-01, 美国, 英语 / 法语 / 意大利语,剧情 惊悚
140,真爱至上 Love Actually,导演 : 理查德·柯蒂斯,8.5,364114,2003-09-07, 英国 / 美国 / 法国, 英语 / 葡萄牙语 / 法语,剧情 喜剧 爱情
141,英雄本色,导演 : 吴宇森,8.6,220530,2017-11-17, 香港, 粤语 / 汉语普通话 / 英语,动作 犯罪
142,超能陆战队 Big Hero 6,导演 : 唐·霍尔 克里斯·威廉姆斯,8.6,462852,2015-02-28, 美国, 英语,喜剧 动作 科幻 动画 冒险
143,唐伯虎点秋香 唐伯虎點秋香,导演 : 李力持,8.5,431134,1993-07-01, 香港, 粤语,喜剧 爱情 古装
144,蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,导演 : 克里斯托弗·诺兰,8.6,352207,2012-08-27, 美国 / 英国, 英语 / 阿拉伯语,剧情 动作 科幻 惊悚 犯罪
145,雨人 Rain Man,导演 : 巴瑞·莱文森,8.7,238119,1988-12-16, 美国, 英语 / 意大利语,剧情
146,心迷宫,导演 : 忻钰坤,8.7,228701,2015-10-16, 中国大陆, 汉语普通话,剧情 悬疑 犯罪
147,卢旺达饭店 Hotel Rwanda,导演 : 特瑞·乔治,8.9,143238,2004-12-22, 英国 / 南非 / 意大利 / 美国, 英语 / 法语,剧情 历史 战争
148,傲慢与偏见 Pride & Prejudice,导演 : 乔·赖特,8.5,365536,2005-09-16, 法国 / 英国 / 美国, 英语,剧情 爱情
149,荒蛮故事 Relatos salvajes,导演 : 达米安·斯兹弗隆,8.8,183354,2014-05-17, 阿根廷 / 西班牙, 西班牙语,剧情 喜剧 犯罪
150,海洋 Océans,导演 : 雅克·贝汉 雅克·克鲁奥德,9.0,108077,2011-08-12, 法国 / 瑞士 / 西班牙 / 美国 / 阿联酋, 法语,纪录片
151,纵横四海 緃横四海,导演 : 吴宇森,8.7,186042,1991-02-02, 香港, 粤语 / 汉语普通话 / 客家话 / 英语 / 法语,剧情 喜剧 动作 犯罪
152,无人知晓 誰も知らない,导演 : 是枝裕和,9.1,96078,2004-05-13, 日本, 日语,剧情
153,海边的曼彻斯特 Manchester by the Sea,导演 : 肯尼思·洛纳根,8.6,250572,2017-08-25, 美国, 英语,剧情 家庭
154,时空恋旅人 About Time,导演 : 理查德·柯蒂斯,8.7,251325,2013-09-04, 英国, 英语,剧情 爱情 奇幻
155,教父3 The Godfather: Part III,导演 : 弗朗西斯·福特·科波拉,8.8,159970,1990-12-25, 美国, 英语 / 意大利语 / 德语 / 拉丁语,剧情 犯罪
156,虎口脱险 La grande vadrouille,导演 : 热拉尔·乌里,8.9,123809,1966-12-08, 法国 / 英国, 法语 / 英语 / 德语,喜剧 战争
157,玩具总动员3 Toy Story 3,导演 : 李·昂克里奇,8.8,229065,2010-06-16, 美国, 英语 / 西班牙语,喜剧 动画 奇幻 冒险
158,完美的世界 A Perfect World,导演 : 克林特·伊斯特伍德,9.0,100303,1993-11-24, 美国, 英语,剧情 犯罪
159,花样年华 花樣年華,导演 : 王家卫,8.6,292960,2000-05-20, 香港, 粤语 / 上海话 / 法语,剧情 爱情
160,达拉斯买家俱乐部 Dallas Buyers Club,导演 : 让-马克·瓦雷,8.7,226224,2013-09-07, 美国, 英语 / 日语,剧情 同性 传记
161,恋恋笔记本 The Notebook,导演 : 尼克·卡萨维茨,8.5,336331,2004-06-25, 美国, 英语,剧情 爱情
162,血战钢锯岭 Hacksaw Ridge,导演 : 梅尔·吉布森,8.7,394376,2016-12-08, 美国 / 澳大利亚, 英语,剧情 传记 历史 战争
163,燃情岁月 Legends of the Fall,导演 : 爱德华·兹威克,8.7,167156,1994-12-16, 美国, 英语 / 康沃尔语,剧情 爱情 家庭 西部
164,二十二,导演 : 郭柯,8.7,135454,2017-08-14,<span property="v:initialReleaseDate" content="2016-06-25(莫斯科电影节)">2016-06-25(莫斯科电影节)</span>, / 112分钟,纪录片
165,雨中曲 Singin' in the Rain,导演 : 斯坦利·多南 吉恩·凯利,9.0,108121,1952-04-11, 美国, 英语,喜剧 爱情 歌舞
166,魂断蓝桥 Waterloo Bridge,导演 : 茂文·勒鲁瓦,8.8,148125,1940-05-17, 美国, 英语,剧情 爱情 战争
167,穿越时空的少女 時をかける少女,导演 : 细田守,8.6,216192,2006-07-15, 日本, 日语,剧情 爱情 科幻 动画
168,冰川时代 Ice Age,导演 : 卡洛斯·沙尔丹哈 克里斯·韦奇,8.5,325601,2002-03-15, 美国, 英语 / 克罗地亚语,喜剧 动画 冒险
169,我是山姆 I Am Sam,导演 : 杰茜·尼尔森,8.8,127273,2001-12-03, 美国, 英语,剧情 家庭
170,猜火车 Trainspotting,导演 : 丹尼·博伊尔,8.5,280609,1996-02-23, 英国, 英语,剧情 犯罪
171,人工智能 Artificial Intelligence: AI,导演 : 史蒂文·斯皮尔伯格,8.6,224881,2001-06-29, 美国, 英语,剧情 科幻 冒险
172,头脑特工队 Inside Out,导演 : 彼特·道格特 罗纳尔多·德尔·卡门,8.7,283603,2015-10-06, 美国, 英语,喜剧 动画 冒险
173,被解救的姜戈 Django Unchained,导演 : 昆汀·塔伦蒂诺,8.6,305154,2013-05-12, 美国, 英语 / 法语 / 德语,剧情 动作 西部 冒险
174,爆裂鼓手 Whiplash,导演 : 达米恩·查泽雷,8.6,281290,2014-10-10, 美国, 英语,剧情 音乐
175,未麻的部屋 Perfect Blue,导演 : 今敏,8.9,121289,1997-07(加拿, 日本, 日语,动画 惊悚 奇幻
176,罗生门 羅生門,导演 : 黑泽明,8.7,151399,1950-08-26, 日本, 日语,剧情 悬疑 犯罪
177,你的名字。 君の名は。,导演 : 新海诚,8.4,604007,2016-12-02, 日本, 日语,剧情 爱情 动画
178,浪潮 Die Welle,导演 : 丹尼斯·甘塞尔,8.7,154395,2008-03-13, 德国, 德语,剧情 惊悚
179,无敌破坏王 Wreck-It Ralph,导演 : 瑞奇·摩尔,8.7,244609,2012-11-06, 美国, 英语,喜剧 动画 奇幻 冒险
180,香水 Perfume: The Story of a Murderer,导演 : 汤姆·提克威,8.4,320492,2006-09-07, 德国 / 法国 / 西班牙 / 美国, 英语,剧情 犯罪 奇幻
181,阿飞正传 阿飛正傳,导演 : 王家卫,8.5,250810,2018-06-25, 香港, 粤语 / 汉语普通话 / 英语 / 菲律宾语 / 上海话,剧情 爱情 犯罪
182,朗读者 The Reader,导演 : 史蒂芬·戴德利,8.5,308045,2008-12-10, 美国 / 德国, 英语 / 德语 / 希腊语 / 拉丁语,剧情 爱情
